magazine,year,month,day,_circulation,_price,type,publishing company,titles included,editor,magazine_id,type_id,circulation_for_db,price_for_db
Life,1924,1,3,139114,$0.15,,,,,0,0,139114,$0.15
Life,1924,1,10,132458,$0.15,,,,,0,0,132458,$0.15
Life,1924,1,17,129148,$0.15,,,,,0,0,129148,$0.15
Life,1924,1,24,124449,$0.15,,,,,0,0,124449,$0.15
Life,1924,1,31,132730,$0.15,,,,,0,0,132730,$0.15
Life,1924,2,7,131322,$0.15,,,,,0,0,131322,$0.15
Life,1924,2,14,131312,$0.15,,,,,0,0,131312,$0.15
Life,1924,2,21,135963,$0.15,,,,,0,0,135963,$0.15
Life,1924,2,28,128027,$0.15,,,,,0,0,128027,$0.15
Life,1924,3,6,128491,$0.15,,,,,0,0,128491,$0.15
Life,1924,3,13,139752,$0.15,,,,,0,0,139752,$0.15
Life,1924,3,20,136236,$0.15,,,,,0,0,136236,$0.15
Life,1924,3,27,136730,$0.15,,,,,0,0,136730,$0.15
Life,1924,4,3,135041,$0.15,,,,,0,0,135041,$0.15
Life,1924,4,10,135877,$0.15,,,,,0,0,135877,$0.15
Life,1924,4,17,131385,$0.15,,,,,0,0,131385,$0.15
Life,1924,4,24,132119,$0.15,,,,,0,0,132119,$0.15
Life,1924,5,1,127802,$0.15,,,,,0,0,127802,$0.15
Life,1924,5,8,128668,$0.15,,,,,0,0,128668,$0.15
Life,1924,5,15,125257,$0.15,,,,,0,0,125257,$0.15
Life,1924,5,22,125615,$0.15,,,,,0,0,125615,$0.15
Life,1924,5,29,124570,$0.15,,,,,0,0,124570,$0.15
Life,1924,6,5,122561,$0.15,,,,,0,0,127802,$0.15
Life,1924,6,12,125708,$0.15,,,,,0,0,128668,$0.15
Life,1924,6,19,124074,$0.15,,,,,0,0,125257,$0.15
Life,1924,6,26,124407,$0.15,,,,,0,0,125615,$0.15
Life,1924,7,3,120039,$0.15,,,,,0,0,124570,$0.15
Life,1924,7,10,118395,$0.15,,,,,0,0,122561,$0.15
Life,1924,7,17,117624,$0.15,,,,,0,0,125708,$0.15
Life,1924,7,24,117167,$0.15,,,,,0,0,124074,$0.15
Life,1924,7,31,122596,$0.15,,,,,0,0,124407,$0.15
Life,1924,8,7,121080,$0.15,,,,,0,0,121080,$0.15
Life,1924,8,14,126724,$0.15,,,,,0,0,126724,$0.15
Life,1924,8,21,124282,$0.15,,,,,0,0,124282,$0.15
Life,1924,8,28,132597,$0.15,,,,,0,0,132597,$0.15
Life,1924,9,4,125399,$0.15,,,,,0,0,125399,$0.15
Life,1924,9,11,127626,$0.15,,,,,0,0,127626,$0.15
Life,1924,9,18,125566,$0.15,,,,,0,0,125566,$0.15
Life,1924,9,25,127302,$0.15,,,,,0,0,127302,$0.15
Life,1924,10,2,128079,$0.15,,,,,0,0,128079,$0.15
Life,1924,10,9,129045,$0.15,,,,,0,0,129045,$0.15
Life,1924,10,16,128043,$0.15,,,,,0,0,128043,$0.15
Life,1924,10,23,128887,$0.15,,,,,0,0,128887,$0.15
Life,1924,10,30,129517,$0.15,,,,,0,0,129517,$0.15
Life,1924,11,6,135163,$0.15,,,,,0,0,135163,$0.15
Life,1924,11,13,128323,$0.15,,,,,0,0,128323,$0.15
Life,1924,11,20,126637,$0.15,,,,,0,0,126637,$0.15
Life,1924,11,27,127590,$0.15,,,,,0,0,127590,$0.15
Life,1924,12,4,133797,$0.15,,,,,0,0,133797,$0.15
Life,1924,12,11,125984,$0.15,,,,,0,0,125984,$0.15
Life,1924,12,18,125137,$0.15,,,,,0,0,125137,$0.15
Life,1924,12,25,126188,$0.15,,,,,0,0,126188,$0.15
Life,1925,1,1,129693,$0.15,,,,,0,0,129693,$0.15
Life,1925,1,8,127415,$0.15,,,,,0,0,127415,$0.15
Life,1925,1,15,120885,$0.15,,,,,0,0,120885,$0.15
Life,1925,1,22,124344,$0.15,,,,,0,0,124344,$0.15
Life,1925,1,29,129143,$0.15,,,,,0,0,129143,$0.15
Life,1925,2,5,128621,$0.15,,,,,0,0,128621,$0.15
Life,1925,2,12,125525,$0.15,,,,,0,0,125525,$0.15
Life,1925,2,19,125203,$0.15,,,,,0,0,125203,$0.15
Life,1925,2,26,126202,$0.15,,,,,0,0,126202,$0.15
